PaperProjectID,DOI,Title,NoveltyScore,Confidence,ControversyIndex,Classification,Explanation,AdjudicationNote,Uniqueness,Tension,Synthesis,Coherence
029_16,https://doi.org/10.1111/fare.13185,The good parent: Emerging themes and gender convergence in narrating fertility choices,0.5229,0.9519,0.5339,Incremental,"This paper is a 5.2/10 for novelty, and we are 95% confident in this assessment. The high confidence (95%) indicates strong consensus across all judge perspectives.",Consensus,0.602,0.3,0.7169,0.9407
029_17,https://doi.org/10.3390/act13060229,Gust Load Alleviation Control Strategies for Large Civil Aircraft through Wing Camber Technology,0.5336,0.9422,0.6417,Incremental,"This paper is a 5.3/10 for novelty, and we are 94% confident in this assessment. The high confidence (94%) indicates strong consensus across all judge perspectives.",Consensus,0.62,0.3,0.7165,0.9262
029_18,https://doi.org/10.1186/s12904-025-01914-z,Advance care planning in German nursing homes from the perspective of the facilitators: A focus group study,0.4823,0.9369,0.7011,Incremental,"This paper is a 4.8/10 for novelty, and we are 94% confident in this assessment. The high confidence (94%) indicates strong consensus across all judge perspectives.",Consensus,0.544,0.3,0.6591,0.8889
029_19,https://doi.org/10.18488/73.v12i2.3658,Relationship of consumer behaviour in social media influences between perceived quality and brand awareness respectively towards brand image,0.512,0.9424,0.6405,Incremental,"This paper is a 5.1/10 for novelty, and we are 94% confident in this assessment. The high confidence (94%) indicates strong consensus across all judge perspectives.",Consensus,0.58,0.3,0.7404,0.9389
029_20,https://doi.org/10.51867/ajernet.6.3.88,"Social protection practices and retention of girls in primary schools in Pokot West Sub-County, Kenya",0.4748,0.9372,0.6975,Incremental,"This paper is a 4.7/10 for novelty, and we are 94% confident in this assessment. The high confidence (94%) indicates strong consensus across all judge perspectives.",Consensus,0.522,0.3,0.7162,0.9367
029_21,https://doi.org/10.3389/fsoc.2024.1458423,Ethical challenges in qualitative sociology: a systematic literature review,0.45,0.9645,0.3947,Incremental,"This paper is a 4.5/10 for novelty, and we are 96% confident in this assessment. The high confidence (96%) indicates strong consensus across all judge perspectives. Note: Final score was adjusted by the Skeptic Gate (Responsible Metrics filter).",VETO: Review Cap (Consensus),0.544,0.25,0.7169,0.9338
029_22,https://doi.org/10.1002/mgg3.70032,A Novel Splice Site Variant in <i>COL6A1</i> Causes Ullrich Congenital Muscular Dystrophy in a Consanguineous Malian Family,0.4908,0.915,0.9442,Incremental,"This paper is a 4.9/10 for novelty, and we are 92% confident in this assessment. The high confidence (92%) indicates strong consensus across all judge perspectives.",Consensus,0.564,0.3,0.624,0.9109
029_23,https://doi.org/10.1109/access.2025.3555741,Challenges and Perspectives in Interpretable Music Auto-Tagging Using Perceptual Features,0.6233,0.9908,0.102,Moderately Novel,"This paper is a 6.2/10 for novelty, and we are 99% confident in this assessment. The high confidence (99%) indicates strong consensus across all judge perspectives.",Consensus,0.624,0.6,0.6892,0.9187
029_24,https://doi.org/10.1016/j.scitotenv.2025.179219,"A systematic literature review of environmental assessments of citrus processing systems, with a focus on the drying phase",0.45,0.9447,0.6141,Incremental,"This paper is a 4.5/10 for novelty, and we are 94% confident in this assessment. The high confidence (94%) indicates strong consensus across all judge perspectives. Note: Final score was adjusted by the Skeptic Gate (Responsible Metrics filter).",VETO: Review Cap (Consensus),0.568,0.25,0.7158,0.9319
029_25,https://doi.org/10.1088/2752-5295/add9ba,A framework for testing tropical cyclone hazard models,0.5259,0.9601,0.443,Incremental,"This paper is a 5.3/10 for novelty, and we are 96% confident in this assessment. The high confidence (96%) indicates strong consensus across all judge perspectives.",Consensus,0.612,0.3,0.6873,0.9382
029_26,https://doi.org/10.1371/journal.pntd.0012183,Cardiac cystic echinococcosis—A systematic review and analysis of the literature,0.45,0.943,0.6331,Incremental,"This paper is a 4.5/10 for novelty, and we are 94% confident in this assessment. The high confidence (94%) indicates strong consensus across all judge perspectives. Note: Final score was adjusted by the Skeptic Gate (Responsible Metrics filter).",VETO: Review Cap (Consensus),0.544,0.25,0.6892,0.9076
029_27,https://doi.org/10.54097/7pmdgf47,"The Correlation between the Risk of Cervical Cancer and the STK11 Genes rs12977689, rs60755851, and rs9282860",0.4639,0.9711,0.3208,Incremental,"This paper is a 4.6/10 for novelty, and we are 97% confident in this assessment. The high confidence (97%) indicates strong consensus across all judge perspectives.",Consensus,0.51,0.3,0.6787,0.949
029_28,https://doi.org/10.20935/acadbiol7992,Influence of visual cover on ramp climbing behavior in guinea pigs,0.4888,0.9554,0.4956,Incremental,"This paper is a 4.9/10 for novelty, and we are 96% confident in this assessment. The high confidence (96%) indicates strong consensus across all judge perspectives.",Consensus,0.556,0.3,0.6524,0.941
029_29,https://doi.org/10.1080/23311886.2024.2406297,"From Islamic modernism to Islamic conservatism: the case of West Sumatra Provinces, Indonesia",0.5276,0.9666,0.3706,Incremental,"This paper is a 5.3/10 for novelty, and we are 97% confident in this assessment. The high confidence (97%) indicates strong consensus across all judge perspectives.",Consensus,0.616,0.3,0.6804,0.9432
029_30,https://doi.org/10.1016/j.wace.2024.100708,Probabilistic analysis of drought impact on wheat yield and climate change implications,0.5334,0.9549,0.5009,Incremental,"This paper is a 5.3/10 for novelty, and we are 95% confident in this assessment. The high confidence (95%) indicates strong consensus across all judge perspectives.",Consensus,0.62,0.3,0.714,0.95
029_31,https://doi.org/10.4103/jfmpc.jfmpc_101_25,Pre-conceptional anemia and iron deficiency in South Indian women: A community-based cross-sectional study,0.4495,0.9411,0.6547,Incremental,"This paper is a 4.5/10 for novelty, and we are 94% confident in this assessment. The high confidence (94%) indicates strong consensus across all judge perspectives.",Consensus,0.496,0.3,0.619,0.9213
029_32,https://doi.org/10.3390/w15223979,Method for Distinguishing Sargassum and Zostera in the Seto Inland Sea Using Sentinel-2 Data,0.5307,0.9499,0.5564,Incremental,"This paper is a 5.3/10 for novelty, and we are 95% confident in this assessment. The high confidence (95%) indicates strong consensus across all judge perspectives.",Consensus,0.62,0.3,0.6866,0.9321
029_33,https://doi.org/10.1039/d4sm01189a,Precisely controlled colloids: a playground for path-wise non-equilibrium physics,0.6258,0.9164,0.9288,Moderately Novel,"This paper is a 6.3/10 for novelty, and we are 92% confident in this assessment. The high confidence (92%) indicates strong consensus across all judge perspectives.",Consensus,0.728,0.4,0.6904,0.8823
029_34,https://doi.org/10.3390/molecules29061310,Synthesis and Bioactive Properties of the Novel Coloured Compound Obtained via the Laccase-Mediated Transformation of 5-Aminosalicylic Acid,0.5362,0.9026,1,Incremental,"This paper is a 5.4/10 for novelty, and we are 90% confident in this assessment. The high confidence (90%) indicates strong consensus across all judge perspectives.",Socratic Panel,0.629,0.3,0.6879,0.9389
029_35,https://doi.org/10.3390/pr12112308,Comprehensive Study of Sustainable Pressurized Liquid Extractions to Obtain Bioavailable Antioxidant Phenolic Compounds from Grape Seed By-Products,0.5241,0.9727,0.3032,Incremental,"This paper is a 5.2/10 for novelty, and we are 97% confident in this assessment. The high confidence (97%) indicates strong consensus across all judge perspectives.",Consensus,0.604,0.3,0.7167,0.9382
029_36,https://doi.org/10.3390/fishes9020077,Trace Metals Distribution in Tissues of 10 Different Shark Species from the Eastern Mediterranean Sea,0.5192,0.9513,0.5409,Incremental,"This paper is a 5.2/10 for novelty, and we are 95% confident in this assessment. The high confidence (95%) indicates strong consensus across all judge perspectives.",Consensus,0.612,0.3,0.6201,0.9351
029_37,https://doi.org/10.1063/5.0280234,A compressive strength prediction model for precast recycled aggregate concrete based on machine learning,0.5222,0.9339,0.7345,Incremental,"This paper is a 5.2/10 for novelty, and we are 93% confident in this assessment. The high confidence (93%) indicates strong consensus across all judge perspectives.",Consensus,0.596,0.3,0.7461,0.9119
029_38,https://doi.org/10.1002/ece3.71815,Long‐Term Changes in the Winter Diet of Common Dolphins Reflects Ecological Shifts and Bycatch Dynamics in the Bay of Biscay,0.4852,0.9504,0.5511,Incremental,"This paper is a 4.9/10 for novelty, and we are 95% confident in this assessment. The high confidence (95%) indicates strong consensus across all judge perspectives.",Consensus,0.544,0.3,0.6881,0.9381
029_39,https://doi.org/10.26508/lsa.202302440,Human CRB1 and CRB2 form homo- and heteromeric protein complexes in the retina,0.5525,0.9663,0.3749,Moderately Novel,"This paper is a 5.5/10 for novelty, and we are 97% confident in this assessment. The high confidence (97%) indicates strong consensus across all judge perspectives.",Consensus,0.618,0.4,0.617,0.9452
029_40,https://doi.org/10.14814/phy2.70583,Ketone body supplementation in keto‐adapted mice reveals metabolic adaptations and glycogen‐independent exercise capacity,0.5293,0.9462,0.5976,Incremental,"This paper is a 5.3/10 for novelty, and we are 95% confident in this assessment. The high confidence (95%) indicates strong consensus across all judge perspectives.",Consensus,0.618,0.3,0.6852,0.9468
029_41,https://doi.org/10.1016/j.ijepes.2024.109802,Automatic fast calculation and verification method for transformer overcurrent protection settings,0.602,0.8485,1,Moderately Novel,"This paper is a 6.0/10 for novelty, and we are 85% confident in this assessment. The moderate confidence (85%) suggests reasonable agreement among judges.",Socratic Panel,0.734,0.3,0.7163,0.938
029_42,https://doi.org/10.1016/j.ijpharm.2025.125303,Using density changes to monitor blending with magnesium stearate by terahertz time-domain spectroscopy,0.529,0.9794,0.2291,Incremental,"This paper is a 5.3/10 for novelty, and we are 98% confident in this assessment. The high confidence (98%) indicates strong consensus across all judge perspectives.",Consensus,0.612,0.3,0.7175,0.9267
029_43,https://doi.org/10.3390/jcm13082398,South American Validation of a Survey to Assess Eco-Anxiety in Adults (ECO-ANS-LATAM),0.481,0.8928,1,Incremental,"This paper is a 4.8/10 for novelty, and we are 89% confident in this assessment. The moderate confidence (89%) suggests reasonable agreement among judges.",Socratic Panel,0.557,0.25,0.7179,0.9215
029_44,https://doi.org/10.1038/s41390-025-04193-9,Early outcome-prediction with an automated EEG background trend in hypothermia-treated newborns with encephalopathy,0.45,0.9374,0.6956,Incremental,"This paper is a 4.5/10 for novelty, and we are 94% confident in this assessment. The high confidence (94%) indicates strong consensus across all judge perspectives. Note: Final score was adjusted by the Skeptic Gate (Responsible Metrics filter).",VETO: Review Cap (Consensus),0.752,0.4,0.6233,0.9168
029_45,https://doi.org/10.1038/s41531-024-00708-z,"Misfolded protein deposits in Parkinson’s disease and Parkinson’s disease-related cognitive impairment, a [11C]PBB3 study",0.5178,0.9501,0.555,Incremental,"This paper is a 5.2/10 for novelty, and we are 95% confident in this assessment. The high confidence (95%) indicates strong consensus across all judge perspectives.",Consensus,0.604,0.3,0.6536,0.9486
029_46,https://doi.org/10.1002/ajpa.70029,"Antenatal Food Avoidances in Madagascar Suggest an Evolutionary Link Between Subsistence Patterns, Carbohydrate Consumption, and Determinants of Obstructed Labor",0.5277,0.985,0.1667,Incremental,"This paper is a 5.3/10 for novelty, and we are 99% confident in this assessment. The high confidence (99%) indicates strong consensus across all judge perspectives.",Consensus,0.62,0.3,0.6568,0.9175
029_47,https://doi.org/10.3390/microorganisms13020399,Molecular Evolution of the Fusion (F) Genes in Human Parainfluenza Virus Type 2,0.5069,0.9364,0.7071,Incremental,"This paper is a 5.1/10 for novelty, and we are 94% confident in this assessment. The high confidence (94%) indicates strong consensus across all judge perspectives.",Consensus,0.58,0.3,0.6894,0.9355
029_48,https://doi.org/10.1142/s2010135x25500079,Study of the GdK<sub>2</sub>Nb<sub>5</sub>O15 thin film by scanning probe microscopy and X-ray diffraction methods,0.4927,0.931,0.7662,Incremental,"This paper is a 4.9/10 for novelty, and we are 93% confident in this assessment. The high confidence (93%) indicates strong consensus across all judge perspectives.",Consensus,0.556,0.3,0.6908,0.868
029_49,https://doi.org/10.1016/j.jii.2024.100583,Integrating and interconnecting of older SINUMERIK CNC machines with industry 4.0 using a plug-and-play system,0.577,0.8972,1,Moderately Novel,"This paper is a 5.8/10 for novelty, and we are 90% confident in this assessment. The moderate confidence (90%) suggests reasonable agreement among judges.",Socratic Panel,0.642,0.4,0.7177,0.938
029_50,https://doi.org/10.2174/0118748368298010240806100503,"Eigen-6c4 Gravity and Alos Palsar Radar Data Integration for Delineating Geological Lineaments in North Ghadames Basin, NW Libya",0.4995,0.9339,0.735,Incremental,"This paper is a 5.0/10 for novelty, and we are 93% confident in this assessment. The high confidence (93%) indicates strong consensus across all judge perspectives.",Consensus,0.568,0.3,0.6873,0.9357
029_51,https://doi.org/10.3389/fevo.2025.1543635,Spring fever: collared lemmings warm up above the snow despite predation risk,0.5115,0.9376,0.693,Incremental,"This paper is a 5.1/10 for novelty, and we are 94% confident in this assessment. The high confidence (94%) indicates strong consensus across all judge perspectives.",Consensus,0.588,0.3,0.6873,0.9366
029_52,https://doi.org/10.3390/plants13141920,Impact of Methyl Jasmonate on Terpenoid Biosynthesis and Functional Analysis of Sesquiterpene Synthesis Genes in Schizonepeta tenuifolia,0.5296,0.9374,0.6952,Incremental,"This paper is a 5.3/10 for novelty, and we are 94% confident in this assessment. The high confidence (94%) indicates strong consensus across all judge perspectives.",Consensus,0.618,0.3,0.6881,0.9404
029_53,https://doi.org/10.1111/jpc.16516,Clinical characteristics and risk factors of <scp>IgA</scp> vasculitis with intussusception and intestinal perforation,0.5239,0.9378,0.6911,Incremental,"This paper is a 5.2/10 for novelty, and we are 94% confident in this assessment. The high confidence (94%) indicates strong consensus across all judge perspectives.",Consensus,0.614,0.3,0.6547,0.9271
029_54,https://doi.org/10.3389/fpubh.2025.1536430,Factors influencing self-report adherence to treatment in a sample of patients with hypertension in the west Pomeranian Voivodeship of Poland,0.4363,0.953,0.5223,Incremental,"This paper is a 4.4/10 for novelty, and we are 95% confident in this assessment. The high confidence (95%) indicates strong consensus across all judge perspectives.",Consensus,0.468,0.3,0.6554,0.927
029_55,https://doi.org/10.1103/physrevd.110.095012,Double and triple Higgs boson production to probe the electroweak phase transition,0.5344,0.9582,0.464,Incremental,"This paper is a 5.3/10 for novelty, and we are 96% confident in this assessment. The high confidence (96%) indicates strong consensus across all judge perspectives.",Consensus,0.626,0.3,0.6882,0.9179
029_56,https://doi.org/10.1002/ctm2.1641,Water‐soluble Sr<sub>4</sub>Al<sub>2</sub>O<sub>7</sub> and its possible applications in medicine research,0.6174,0.9483,0.575,Moderately Novel,"This paper is a 6.2/10 for novelty, and we are 95% confident in this assessment. The high confidence (95%) indicates strong consensus across all judge perspectives.",Consensus,0.76,0.3,0.7141,0.9417
029_57,https://doi.org/10.2478/amns.2023.2.01544,Research on Digital Construction and Design of Minority Clothing Based on Multivariate Statistical Analysis,0.5539,0.9786,0.2375,Moderately Novel,"This paper is a 5.5/10 for novelty, and we are 98% confident in this assessment. The high confidence (98%) indicates strong consensus across all judge perspectives.",Consensus,0.604,0.4,0.7146,0.9423
029_58,https://doi.org/10.1186/s12903-024-04129-5,Combining public datasets for automated tooth assessment in panoramic radiographs,0.4926,0.9264,0.8181,Incremental,"This paper is a 4.9/10 for novelty, and we are 93% confident in this assessment. The high confidence (93%) indicates strong consensus across all judge perspectives.",Consensus,0.556,0.3,0.69,0.9081
029_59,https://doi.org/10.1016/j.jajp.2024.100260,Improving the joint strength of thermoplastic composites joined by press joining using laser-based surface treatment,0.5145,0.9299,0.7785,Incremental,"This paper is a 5.1/10 for novelty, and we are 93% confident in this assessment. The high confidence (93%) indicates strong consensus across all judge perspectives.",Consensus,0.588,0.3,0.7172,0.9326
029_60,https://doi.org/10.52825/ocp.v5i.1181,Employing “Webby” FAIR Digital Objects to Support Large-Scale Ecosystem Monitoring and Mitigation of Biodiversity Loss in the Anthropocene,0.5565,0.9696,0.3382,Moderately Novel,"This paper is a 5.6/10 for novelty, and we are 97% confident in this assessment. The high confidence (97%) indicates strong consensus across all judge perspectives.",Consensus,0.618,0.4,0.6568,0.9008
029_61,https://doi.org/10.1016/j.agwat.2025.109869,"Wide-precision planting improves winter wheat yield, nitrogen use efficiency and water productivity in China: A meta-analysis",0.45,0.9798,0.2242,Incremental,"This paper is a 4.5/10 for novelty, and we are 98% confident in this assessment. The high confidence (98%) indicates strong consensus across all judge perspectives. Note: Final score was adjusted by the Skeptic Gate (Responsible Metrics filter).",VETO: Review Cap (Consensus),0.62,0.25,0.7107,0.95
029_62,https://doi.org/10.1111/jphd.12630,Educating long‐term care staff on older adult oral health: Maine's oral team‐based initiative vital access to education (<scp>MOTIVATE</scp>) program,0.4923,0.9155,0.939,Incremental,"This paper is a 4.9/10 for novelty, and we are 92% confident in this assessment. The high confidence (92%) indicates strong consensus across all judge perspectives.",Consensus,0.556,0.3,0.6865,0.9265
029_63,https://doi.org/10.1017/s095653612300007x,Patterns of residential differentiation and labor control at Baking Pot and Lower Dover in the Belize River Valley,0.5226,0.971,0.3227,Incremental,"This paper is a 5.2/10 for novelty, and we are 97% confident in this assessment. The high confidence (97%) indicates strong consensus across all judge perspectives.",Consensus,0.612,0.3,0.6544,0.9432
029_64,https://doi.org/10.1016/j.brs.2025.08.019,Repetitive magnetic stimulation induces plasticity of excitatory synapses through cooperative pre- and postsynaptic activity,0.5136,0.9544,0.507,Incremental,"This paper is a 5.1/10 for novelty, and we are 95% confident in this assessment. The high confidence (95%) indicates strong consensus across all judge perspectives.",Consensus,0.596,0.3,0.6602,0.9136
029_65,https://doi.org/10.1007/s10342-024-01673-1,Simulating cable corridors based on terrestrial LiDAR data,0.5607,0.9751,0.2762,Moderately Novel,"This paper is a 5.6/10 for novelty, and we are 98% confident in this assessment. The high confidence (98%) indicates strong consensus across all judge perspectives.",Consensus,0.62,0.4,0.6873,0.9457
029_66,https://doi.org/10.3390/pathogens13090776,Inorganic Polyphosphate Is in the Surface of Trypanosoma cruzi but Is Not Significantly Secreted,0.5243,0.9579,0.4675,Incremental,"This paper is a 5.2/10 for novelty, and we are 96% confident in this assessment. The high confidence (96%) indicates strong consensus across all judge perspectives.",Consensus,0.62,0.3,0.6226,0.9259
029_67,https://doi.org/10.3847/1538-4357/ad7383,Formation of Close-in Neptunes around Low-mass Stars through Breaking Resonant Chains,0.6495,0.9102,0.9981,Moderately Novel,"This paper is a 6.5/10 for novelty, and we are 91% confident in this assessment. The high confidence (91%) indicates strong consensus across all judge perspectives.",Consensus,0.768,0.4,0.6874,0.9259
029_68,https://doi.org/10.1111/beer.70062,Overall Organizational Justice Trajectories Among Newcomers: How Do Justice Perceptions Develop and Why Does It Matter?,0.5503,0.892,1,Moderately Novel,"This paper is a 5.5/10 for novelty, and we are 89% confident in this assessment. The moderate confidence (89%) suggests reasonable agreement among judges.",Socratic Panel,0.643,0.3,0.7453,0.9322
029_69,https://doi.org/10.3390/catal14060340,Engineering the Integration of Titanium and Nickel into Zinc Oxide Nanocomposites through Nanolayered Structures and Nanohybrids to Design Effective Photocatalysts for Purifying Water from Industrial Pollutants,0.5284,0.9642,0.3975,Incremental,"This paper is a 5.3/10 for novelty, and we are 96% confident in this assessment. The high confidence (96%) indicates strong consensus across all judge perspectives.",Consensus,0.616,0.3,0.6878,0.9233
029_70,https://doi.org/10.3390/molecules28248094,Efficient Degradation of Ciprofloxacin in Water over Copper-Loaded Biochar Using an Enhanced Non-Radical Pathway,0.5573,0.8465,1,Moderately Novel,"This paper is a 5.6/10 for novelty, and we are 85% confident in this assessment. The moderate confidence (85%) suggests reasonable agreement among judges.",Socratic Panel,0.664,0.3,0.6886,0.9165
029_71,https://doi.org/10.53469/jgebf.2024.06(09).01,The Role of Intergenerational Differences in Influencing Perceptions of Salary and Benefits: A Review Study,0.45,0.9279,0.8008,Incremental,"This paper is a 4.5/10 for novelty, and we are 93% confident in this assessment. The high confidence (93%) indicates strong consensus across all judge perspectives. Note: Final score was adjusted by the Skeptic Gate (Responsible Metrics filter).",VETO: Review Cap (Consensus),0.542,0.25,0.7181,0.9378
029_72,https://doi.org/10.1049/cps2.12083,Mobile detection of cataracts with an optimised lightweight deep Edge Intelligent technique,0.526,0.9515,0.5391,Incremental,"This paper is a 5.3/10 for novelty, and we are 95% confident in this assessment. The high confidence (95%) indicates strong consensus across all judge perspectives.",Consensus,0.612,0.3,0.6881,0.9158
029_73,https://doi.org/10.1111/teth.70004,Learning Prophets by Writing Prophecies: Modeling Amos to Critique Today's Problems,0.4449,0.9509,0.5456,Incremental,"This paper is a 4.4/10 for novelty, and we are 95% confident in this assessment. The high confidence (95%) indicates strong consensus across all judge perspectives.",Consensus,0.488,0.3,0.6205,0.9446
029_74,https://doi.org/10.3390/jcs8110470,The Influence of the Amount of Technological Waste on the Performance Properties of Fibrous Polymer Composites,0.5098,0.9295,0.7837,Incremental,"This paper is a 5.1/10 for novelty, and we are 93% confident in this assessment. The high confidence (93%) indicates strong consensus across all judge perspectives.",Consensus,0.58,0.3,0.7176,0.925
029_75,https://doi.org/10.3390/jcm13123381,Impact of Drug-Coated Balloon-Based Revascularization in Patients with Chronic Total Occlusions,0.5305,0.9314,0.7627,Incremental,"This paper is a 5.3/10 for novelty, and we are 93% confident in this assessment. The high confidence (93%) indicates strong consensus across all judge perspectives.",Consensus,0.62,0.3,0.6853,0.9253
029_76,https://doi.org/10.1002/ece3.72303,Within‐ and Across‐Generational Effects of Temperature: Exposure of <i>Manduca sexta</i> Larvae to Heat Stress Impacts Future Reproduction and Offspring Development,0.5305,0.948,0.5776,Incremental,"This paper is a 5.3/10 for novelty, and we are 95% confident in this assessment. The high confidence (95%) indicates strong consensus across all judge perspectives.",Consensus,0.62,0.3,0.6848,0.95
029_77,https://doi.org/10.3390/telecom6010001,Fountain Coding Based Two-Way Relaying Cognitive Radio Networks Employing Reconfigurable Intelligent Surface and Energy Harvesting,0.5242,0.9409,0.6569,Incremental,"This paper is a 5.2/10 for novelty, and we are 94% confident in this assessment. The high confidence (94%) indicates strong consensus across all judge perspectives.",Consensus,0.604,0.3,0.7177,0.9265
029_78,https://doi.org/10.3390/healthcare12090883,Exploring the Threefold Viewpoint on Children’s Oral Health in a Cross-Sectional Study,0.4622,0.9273,0.8081,Incremental,"This paper is a 4.6/10 for novelty, and we are 93% confident in this assessment. The high confidence (93%) indicates strong consensus across all judge perspectives.",Consensus,0.496,0.3,0.7458,0.9332
029_79,https://doi.org/10.3390/foods13162516,Rapid Color Quality Evaluation of Needle-Shaped Green Tea Using Computer Vision System and Machine Learning Models,0.5325,0.9381,0.6883,Incremental,"This paper is a 5.3/10 for novelty, and we are 94% confident in this assessment. The high confidence (94%) indicates strong consensus across all judge perspectives.",Consensus,0.618,0.3,0.7168,0.9355
029_80,https://doi.org/10.1177/05390184231223890,Research in the information age and the risks of researcher vicarious trauma,0.45,0.9667,0.37,Incremental,"This paper is a 4.5/10 for novelty, and we are 97% confident in this assessment. The high confidence (97%) indicates strong consensus across all judge perspectives. Note: Final score was adjusted by the Skeptic Gate (Responsible Metrics filter).",VETO: Review Cap (Consensus),0.62,0.3,0.6558,0.9358
