"Upstream data variability: S2 API returned different abstract lengths and citation networks between the frozen run and the rerun, causing all three dimensions (T, S, C) to shift. Pipeline behaviour is correct in both runs. Reviewers are unaffected: the replication package ships frozen abstract text in abstracts_snapshot.csv.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOI,PaperProjectID_frozen,Title_frozen,NoveltyScore_frozen,Uniqueness_frozen,Tension_frozen,Synthesis_frozen,Coherence_frozen,Classification_frozen,AdjudicationNote_frozen,Confidence_frozen,PaperProjectID_rerun,Title_rerun,NoveltyScore_rerun,Uniqueness_rerun,Tension_rerun,Synthesis_rerun,Coherence_rerun,Classification_rerun,AdjudicationNote_rerun,Confidence_rerun,delta_NoveltyScore,delta_Uniqueness,delta_Tension,delta_Synthesis,delta_Coherence,class_match,veto_frozen,veto_rerun,veto_match
10.1016/j.jphyss.2025.100045,029_460,LAMC1 aggravates diabetic retinopathy through PI3K/AKT signaling-regulated epithelial-mesenchymal transition in retinal pigment epithelial cells,0.5488,0.65,0.3,0.6877,0.9361,Incremental,Socratic Panel,0.8586,029_459,LAMC1 aggravates diabetic retinopathy through PI3K/AKT signaling-regulated epithelial-mesenchymal transition in retinal pigment epithelial cells,0.5647,0.673,0.3,0.7093,0.9361,Moderately Novel,Socratic Panel,0.8221,0.015900000000000025,0.02300000000000002,0.0,0.021600000000000064,0.0,False,False,False,True
10.1007/s10543-024-01034-9,029_480,Block diagonal Calderón preconditioning for scattering at multi-screens,0.6107,0.748,0.3,0.7191,0.8963,Moderately Novel,Consensus,0.9127,029_479,Block diagonal Calderón preconditioning for scattering at multi-screens,0.5764,0.689,0.3,0.7296,0.8963,Moderately Novel,Socratic Panel,0.8375,0.0343,0.05900000000000005,0.0,0.010500000000000065,0.0,True,False,False,True
10.1016/j.rechem.2024.101889,029_489,Effect of Ag–Te alloys on pH sensitivity of Ag2O–TeO2 glass/stainless steel enamel,0.5534,0.608,0.4,0.6862,0.9377,Moderately Novel,Consensus,0.9584,029_488,Effect of Ag–Te alloys on pH sensitivity of Ag2O–TeO2 glass/stainless steel enamel,0.5498,0.602,0.4,0.6862,0.9377,Incremental,Consensus,0.9621,0.0036000000000000476,0.006000000000000005,0.0,0.0,0.0,False,False,False,True
10.1016/j.cpb.2025.100445,029_503,Natural variation in HD10.1 promoter causing delayed heading date in rice,0.5302,0.62,0.3,0.6818,0.9401,Incremental,Consensus,0.9433,029_502,Natural variation in HD10.1 promoter causing delayed heading date in rice,0.55,0.653,0.3,0.6818,0.9401,Moderately Novel,Socratic Panel,0.8598,0.01980000000000004,0.03300000000000003,0.0,0.0,0.0,False,False,False,True
10.3847/1538-4357/ad284e,029_509,Explosions in Roche-lobe Distorted Stars: Relativistic Bullets in Binaries,0.6326,0.735,0.4,0.716,0.9471,Moderately Novel,Socratic Panel,0.874,029_508,Explosions in Roche-lobe Distorted Stars: Relativistic Bullets in Binaries,0.602,0.682,0.4,0.7276,0.9471,Moderately Novel,Consensus,0.965,0.03060000000000007,0.052999999999999936,0.0,0.011600000000000055,0.0,True,False,False,True
10.1136/bmjopen-2023-079969,029_515,"Bone age assessment based on three-dimensional ultrasound and artificial intelligence compared with paediatrician-read radiographic bone age: protocol for a prospective, diagnostic accuracy study",0.4217,0.588,0.0,0.6888,0.9155,Incremental,Consensus,0.9651,029_514,"Bone age assessment based on three-dimensional ultrasound and artificial intelligence compared with paediatrician-read radiographic bone age: protocol for a prospective, diagnostic accuracy study",0.45,0.711,0.3,0.708,0.9439,Incremental,VETO: Review Cap (Socratic Panel),0.8511,0.028299999999999992,0.123,0.3,0.019199999999999995,0.02839999999999998,True,False,True,False
10.5194/tc-18-4531-2024,029_563,Modelling the effect of free convection on permafrost melting rates in frozen rock clefts,0.5354,0.618,0.3,0.7459,0.9329,Incremental,Consensus,0.9682,029_562,Modelling the effect of free convection on permafrost melting rates in frozen rock clefts,0.5505,0.643,0.3,0.7473,0.9329,Moderately Novel,Socratic Panel,0.8752,0.015100000000000002,0.025000000000000022,0.0,0.0013999999999999568,0.0,False,False,False,True
10.1016/j.sheji.2024.05.001,029_590,Shared Leadership and Sociomateriality in Design Projects: Integrating Objects and Values,0.5346,0.622,0.3,0.7142,0.9474,Incremental,Consensus,0.9369,029_589,Shared Leadership and Sociomateriality in Design Projects: Integrating Objects and Values,0.5544,0.655,0.3,0.7142,0.9474,Moderately Novel,Socratic Panel,0.8337,0.01980000000000004,0.03300000000000003,0.0,0.0,0.0,False,False,False,True
10.1002/tpg2.70098,029_595,Pangenome insights into structural variation and functional diversification of barley CCT motif genes,0.5514,0.649,0.3,0.7197,0.8873,Moderately Novel,Socratic Panel,0.8433,029_594,Pangenome insights into structural variation and functional diversification of barley CCT motif genes,0.5434,0.634,0.3,0.73,0.8873,Incremental,Consensus,0.9373,0.008000000000000007,0.015000000000000013,0.0,0.010299999999999976,0.0,False,False,False,True
10.55927/ijar.v3i1.7864,029_623,Phytochemical Screening and Physical Evaluation of Liquid Soap Preparation with 96% Ethanol Extract of Butterfly Flower (Clitoria ternatea L.),0.4578,0.504,0.3,0.654,0.9349,Incremental,Consensus,0.9653,029_622,Phytochemical Screening and Physical Evaluation of Liquid Soap Preparation with 96% Ethanol Extract of Butterfly Flower (Clitoria ternatea L.),0.4924,0.556,0.3,0.6881,0.9349,Incremental,Consensus,0.9387,0.03460000000000002,0.052000000000000046,0.0,0.03410000000000002,0.0,True,False,False,True
10.1080/23311983.2025.2568642,029_628,Cultural commodification as cultural sustainability: a case study of the Xiangxi Tujia Bai Shou dance,0.5482,0.64,0.3,0.7422,0.9467,Incremental,Consensus,0.9378,029_627,Cultural commodification as cultural sustainability: a case study of the Xiangxi Tujia Bai Shou dance,0.5899,0.709,0.3,0.7448,0.9467,Moderately Novel,Socratic Panel,0.8605,0.04169999999999996,0.06899999999999995,0.0,0.0026000000000000467,0.0,False,False,False,True
10.1002/adpr.202400147,029_651,Biphoton Waveforms of Photon Pair from Velocity‐Selective Atoms in a Doppler‐Broadened Atomic Ensemble,0.5193,0.612,0.3,0.621,0.9352,Incremental,Consensus,0.954,029_650,Biphoton Waveforms of Photon Pair from Velocity‐Selective Atoms in a Doppler‐Broadened Atomic Ensemble,0.5516,0.658,0.3,0.668,0.9352,Moderately Novel,Consensus,0.9262,0.032299999999999995,0.04600000000000004,0.0,0.04700000000000004,0.0,False,False,False,True
10.1080/08839514.2024.2385857,029_654,An Adaptive Distributed Consumer Trust Model for Social Commerce,0.5592,0.658,0.3,0.7443,0.9429,Moderately Novel,Consensus,0.9124,029_653,An Adaptive Distributed Consumer Trust Model for Social Commerce,0.6062,0.736,0.3,0.7462,0.9429,Moderately Novel,Consensus,0.9578,0.04699999999999993,0.07799999999999996,0.0,0.0019000000000000128,0.0,True,False,False,True
10.1111/apt.18314,029_671,Performance of Faecal Immunochemical Testing for Colorectal Cancer Screening at Varying Positivity Thresholds,0.1713,0.176,0.0,0.6574,0.7,Incremental,Consensus,0.9434,029_670,Performance of Faecal Immunochemical Testing for Colorectal Cancer Screening at Varying Positivity Thresholds,0.3885,0.386,0.3,0.669,0.9136,Incremental,Consensus,0.9216,0.2172,0.21000000000000002,0.3,0.011600000000000055,0.2136,True,False,False,True
10.3390/pathogens13100850,029_698,Computational Workflow to Design Novel Vaccine Candidates and Small-Molecule Therapeutics for Schistosomiasis,0.5531,0.652,0.3,0.7191,0.9024,Moderately Novel,Socratic Panel,0.8555,029_697,Computational Workflow to Design Novel Vaccine Candidates and Small-Molecule Therapeutics for Schistosomiasis,0.541,0.63,0.3,0.7296,0.9024,Incremental,Consensus,0.9659,0.0121,0.02200000000000002,0.0,0.010500000000000065,0.0,False,False,False,True
10.1049/rsn2.12526,029_713,Robust localisation methods based on modified skipped filter weighted least squares algorithm,0.5425,0.635,0.3,0.7146,0.9363,Incremental,Socratic Panel,0.8806,029_712,Robust localisation methods based on modified skipped filter weighted least squares algorithm,0.5635,0.668,0.3,0.7267,0.9363,Moderately Novel,Socratic Panel,0.8578,0.02100000000000002,0.03300000000000003,0.0,0.0121,0.0,False,False,False,True
10.1002/adsu.202400823,029_723,Field Trials of Low‐Cost Bi‐TiO<sub>2</sub>‐P25 Solar Photo Catalyst for Water Treatment,0.5366,0.63,0.3,0.6862,0.9331,Incremental,Socratic Panel,0.874,029_722,Field Trials of Low‐Cost Bi‐TiO<sub>2</sub>‐P25 Solar Photo Catalyst for Water Treatment,0.5508,0.65,0.3,0.7084,0.9331,Moderately Novel,Socratic Panel,0.889,0.01419999999999999,0.020000000000000018,0.0,0.022199999999999998,0.0,False,False,False,True
10.1002/ksa.12092,029_725,Microporous titanium and hydroxyapatite improve fixation of the tibial wall in unicompartmental knee replacement,0.4321,0.466,0.3,0.6249,0.9155,Incremental,Consensus,0.9308,029_724,Microporous titanium and hydroxyapatite improve fixation of the tibial wall in unicompartmental knee replacement,0.5228,0.604,0.3,0.7042,0.9459,Incremental,Consensus,0.9694,0.09070000000000006,0.13799999999999996,0.0,0.07930000000000004,0.030399999999999983,True,False,False,True
10.1093/braincomms/fcae052,029_761,Peri-ictal activation of dorsomedial dorsal raphe serotonin neurons reduces mortality associated with maximal electroshock seizures,0.556,0.663,0.3,0.6823,0.9497,Moderately Novel,Socratic Panel,0.8504,029_760,Peri-ictal activation of dorsomedial dorsal raphe serotonin neurons reduces mortality associated with maximal electroshock seizures,0.5488,0.647,0.3,0.7059,0.9497,Incremental,Socratic Panel,0.829,0.007200000000000095,0.016000000000000014,0.0,0.023599999999999954,0.0,False,False,False,True
10.1021/jacs.4c03644,029_763,Initial Amino Acid:Codon Assignments and Strength of Codon:Anticodon Binding,0.5521,0.661,0.3,0.6546,0.9401,Moderately Novel,Socratic Panel,0.8688,029_762,Initial Amino Acid:Codon Assignments and Strength of Codon:Anticodon Binding,0.547,0.647,0.3,0.6885,0.9401,Incremental,Socratic Panel,0.8404,0.005099999999999993,0.014000000000000012,0.0,0.03390000000000004,0.0,False,False,False,True
10.1016/j.jcm.2024.08.003,029_773,A Retrospective Analysis of 190 Patients With Scoliosis Referred to a Private Australian Clinical Advisory Service Between 2017 and 2020,0.3035,0.246,0.3,0.6588,0.9188,Incremental,Consensus,0.9375,029_772,A Retrospective Analysis of 190 Patients With Scoliosis Referred to a Private Australian Clinical Advisory Service Between 2017 and 2020,0.3703,0.352,0.3,0.6911,0.9188,Incremental,Consensus,0.897,0.06680000000000003,0.10599999999999998,0.0,0.032299999999999995,0.0,True,False,False,True
10.3389/fcell.2024.1420161,029_778,ProDiVis: a method to normalize fluorescence signal localization in 3D specimens,0.5548,0.61,0.4,0.6879,0.933,Moderately Novel,Consensus,0.9764,029_777,ProDiVis: a method to normalize fluorescence signal localization in 3D specimens,0.5497,0.598,0.4,0.7094,0.933,Incremental,Consensus,0.962,0.005099999999999993,0.01200000000000001,0.0,0.021500000000000075,0.0,False,False,False,True
10.1016/j.eng.2024.03.018,029_794,Water Quality System Informatics: An Emerging Inter-Discipline of Environmental Engineering,0.5447,0.634,0.3,0.7426,0.9492,Incremental,Consensus,0.9455,029_793,Water Quality System Informatics: An Emerging Inter-Discipline of Environmental Engineering,0.5639,0.666,0.3,0.7426,0.9492,Moderately Novel,Socratic Panel,0.8577,0.019199999999999995,0.03200000000000003,0.0,0.0,0.0,False,False,False,True
10.18203/2320-6012.ijrms20253185,029_803,An unusual presentation of inverted papilloma in the nasopharynx,0.5511,0.665,0.3,0.6206,0.9374,Moderately Novel,Socratic Panel,0.8997,029_802,An unusual presentation of inverted papilloma in the nasopharynx,0.542,0.642,0.3,0.6678,0.9374,Incremental,Consensus,0.9135,0.009099999999999997,0.02300000000000002,0.0,0.04719999999999991,0.0,False,False,False,True
10.1016/j.ejps.2025.107361,029_804,Pulmonary delivery of anti-infectives from natural sources: Development and characterization of liposomal sanggenon formulations,0.5574,0.664,0.3,0.6897,0.883,Moderately Novel,Socratic Panel,0.8801,029_803,Pulmonary delivery of anti-infectives from natural sources: Development and characterization of liposomal sanggenon formulations,0.5343,0.622,0.3,0.7106,0.883,Incremental,Consensus,0.9408,0.02310000000000001,0.04200000000000004,0.0,0.02090000000000003,0.0,False,False,False,True
10.7759/cureus.78940,029_813,Point-of-Care Ultrasound (POCUS) Exam Performed by an Anesthesiologist Changes Obstetric Management,0.5577,0.62,0.4,0.6565,0.9278,Moderately Novel,Consensus,0.9726,029_812,Point-of-Care Ultrasound (POCUS) Exam Performed by an Anesthesiologist Changes Obstetric Management,0.5418,0.588,0.4,0.6897,0.9278,Incremental,Consensus,0.9855,0.015900000000000025,0.03200000000000003,0.0,0.03320000000000001,0.0,False,False,False,True
10.1016/j.csbj.2025.03.052,029_870,AI-based nanotoxicity data extraction and prediction of nanotoxicity,0.615,0.706,0.4,0.7143,0.9253,Moderately Novel,Socratic Panel,0.8847,029_869,AI-based nanotoxicity data extraction and prediction of nanotoxicity,0.5791,0.644,0.4,0.7265,0.9253,Moderately Novel,Consensus,0.9189,0.03590000000000004,0.061999999999999944,0.0,0.012199999999999989,0.0,True,False,False,True
10.1016/j.scitotenv.2025.178440,029_919,Enhanced mercury deposition in Arctic Alaskan lake sediments coincides with early Holocene hydroclimate shift,0.5524,0.651,0.3,0.7184,0.9146,Moderately Novel,Socratic Panel,0.8367,029_918,Enhanced mercury deposition in Arctic Alaskan lake sediments coincides with early Holocene hydroclimate shift,0.5469,0.64,0.3,0.7292,0.9146,Incremental,Consensus,0.914,0.005499999999999949,0.01100000000000001,0.0,0.01079999999999992,0.0,False,False,False,True
10.1016/j.mex.2024.103135,029_927,A dual expression plasmid with Microcin B17 compatible with both prokaryotic and mammalian systems,0.5551,0.656,0.3,0.7147,0.9467,Moderately Novel,Socratic Panel,0.8771,029_926,A dual expression plasmid with Microcin B17 compatible with both prokaryotic and mammalian systems,0.5371,0.624,0.3,0.7267,0.9467,Incremental,Consensus,0.9733,0.018000000000000016,0.03200000000000003,0.0,0.01200000000000001,0.0,False,False,False,True
10.1186/s12885-024-12641-8,029_931,Non-genetic factors and breast cancer: an umbrella review of meta-analyses,0.2195,0.262,0.0,0.6228,0.9339,Incremental,Consensus,0.9384,029_930,Non-genetic factors and breast cancer: an umbrella review of meta-analyses,0.45,0.544,0.25,0.7081,0.9455,Incremental,VETO: Review Cap (Consensus),0.94,0.2305,0.28200000000000003,0.25,0.08529999999999993,0.011600000000000055,True,False,True,False
10.1002/jeo2.70519,029_984,Incidence and treatment strategy for patellar instability in Norway,0.2772,0.358,0.0,0.6244,0.7,Incremental,Consensus,0.8359,029_983,Incidence and treatment strategy for patellar instability in Norway,0.41,0.422,0.3,0.6684,0.7,Incremental,Consensus,0.9692,0.13279999999999997,0.064,0.3,0.04400000000000004,0.0,True,False,False,True
10.1111/all.70070,029_1000,Immune Training of the Interleukin 6 Gene in Airway Epithelial Cells is Central to Asthma Exacerbations,0.5519,0.666,0.3,0.623,0.9054,Moderately Novel,Consensus,0.9139,029_999,Immune Training of the Interleukin 6 Gene in Airway Epithelial Cells is Central to Asthma Exacerbations,0.5973,0.734,0.3,0.6691,0.9054,Moderately Novel,Consensus,0.9796,0.04540000000000011,0.06799999999999995,0.0,0.04610000000000003,0.0,True,False,False,True
